,steel,shape,bore,carbon,hardness,strength,len,thick,width,classes
83,A,COIL,0,0.0,0,0,0,0.3,1320.0,2
84,R,SHEET,0,0.0,0,0,612,0.6990000000000001,375.0,2
85,A,SHEET,0,0.0,0,0,762,0.451,1250.0,2
86,K,COIL,0,45.0,45,0,0,1.5,900.0,2
87,A,SHEET,0,0.0,0,0,4880,1.599,1300.0,2
88,R,COIL,0,0.0,0,0,0,3.2,1320.0,2
89,K,COIL,500,45.0,45,0,0,3.2,640.0,2
90,A,SHEET,0,0.0,0,0,3000,1.6,609.9,3
91,,SHEET,0,0.0,0,0,612,1.6,609.9,3
92,R,SHEET,0,0.0,0,0,4170,1.6,1500.0,1
93,A,SHEET,0,0.0,0,0,1,1.2,609.9,3
94,R,SHEET,0,0.0,0,0,762,1.599,610.0,1
95,R,SHEET,0,0.0,0,0,880,1.601,830.0,1
96,V,SHEET,0,0.0,0,0,762,1.599,150.0,1
97,A,COIL,0,0.0,0,0,0,0.4,20.0,4
98,A,COIL,500,0.0,0,0,0,4.0,610.0,4
